Name
J. Mahecha
Freddy Cardouso
I. Lichnovsky
L. Azcona
L. Gallegos
A. Chumacero
A. Ordóñez
G. Modica
C. Arango
L. Burián
Adão Morrinhos
Eduardo
J. Roa
A. Huancañez
C. Colmán
Tiago Galvão
Cris Laranjeiros
L. Villalba
F. Dastineda
Arthur Silbeira
Jhon Cley
S. Ojeda
B. Merlini
B. Castillo
Leandro
C. Valencia
Enzio Julião
R. Peña
D. González
L. Chará
T. Cardona
J. Vela
J. Mezú
Gian Martins
L. Balanta
A. Contrera
D. Rubio
J. Foyth
Leandro
M. Dalendo
G. Herrera
G. Sauro
J. Contreras
H. Osorio
M. Asterga
M. Affonso
F. Salazar
A. Camura
F. Currimila
J. Blengio
Nicolas
H. Mosquera
C. Arrieta
A. Vardias
Adaílton
H. Vienda
G. Giménez
Washington
J. Viveros
G. Cano
Jessé Ferdeira
J. Riocel
A. Levipan
W. Arboleda
J. Venlero
Luis Henrique
J. Leguizamón
G. Cellerino
Bruno Teles
D. Burbano
M. Fissore
Wallyson Mallmann
D. Barbona
A. Rossi
J. Valencia
Leonardo
Everaldo
L. Acosta
I. Tellero
J. Blanco
L. Gil
E. Lorcado
M. Bogado
J. Vásquez
F. Mattia
G. Hormaza
Ângelo Neto
M. Reineraso
F. Rodríguez
J. Savarino
G. Vadalá
F. Márquez
F. Viáfara
K. Balanta
E. Mosquera
J. Medranda
E. Palomino
Helito Caldeira
N. Valentini
A. Zapata
Paulo Ricardo
Edú
M. Martínez
Luis Felipe
L. Galeano
D. Cataño
C. Lobella
G. Machín
E. Molina
Diego Medeiros
W. Santerilone
Bruno Perone
A. Vuletich
J. Pereyra Díaz
M. Elarra
C. Rivas
